iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FN	F1_TP+FP
697	265	296	265	340	265	340	296
698	265	296	265	340	265	340	296
699	265	296	265	340	265	340	296
700	265	296	265	340	265	340	296
701	265	296	265	340	265	340	296
702	265	296	265	340	265	340	296
703	265	296	265	340	265	340	296
704	265	296	265	340	265	340	296
705	265	296	265	340	265	340	296
706	265	296	265	340	265	340	296
707	266	297	266	340	266	340	297
708	266	297	266	340	266	340	297
709	266	297	266	340	266	340	297
710	266	297	266	340	266	340	297
711	265	296	265	340	265	340	296
712	265	295	265	340	265	340	295
713	265	296	265	340	265	340	296
714	264	294	264	340	264	340	294
715	264	294	264	340	264	340	294
716	265	296	265	340	265	340	296
717	265	295	265	340	265	340	295
718	265	295	265	340	265	340	295
719	265	295	265	340	265	340	295
720	265	296	265	340	265	340	296
721	266	297	266	340	266	340	297
722	266	297	266	340	266	340	297
723	266	297	266	340	266	340	297
724	266	297	266	340	266	340	297
725	266	296	266	340	266	340	296
726	266	296	266	340	266	340	296
727	266	296	266	340	266	340	296
728	266	296	266	340	266	340	296
729	266	296	266	340	266	340	296
730	266	296	266	340	266	340	296
731	266	296	266	340	266	340	296
732	266	296	266	340	266	340	296
733	266	296	266	340	266	340	296
734	266	296	266	340	266	340	296
735	266	296	266	340	266	340	296
736	266	296	266	340	266	340	296
737	266	296	266	340	266	340	296
738	266	296	266	340	266	340	296
739	266	296	266	340	266	340	296
740	266	296	266	340	266	340	296
741	266	296	266	340	266	340	296
742	266	296	266	340	266	340	296
743	266	296	266	340	266	340	296
744	266	296	266	340	266	340	296
745	266	296	266	340	266	340	296
746	266	296	266	340	266	340	296
747	266	296	266	340	266	340	296
748	266	296	266	340	266	340	296
749	266	296	266	340	266	340	296
750	266	296	266	340	266	340	296
751	266	296	266	340	266	340	296
752	266	296	266	340	266	340	296
753	266	296	266	340	266	340	296
754	264	294	264	340	264	340	294
755	264	294	264	340	264	340	294
756	264	294	264	340	264	340	294
757	266	296	266	340	266	340	296
758	266	296	266	340	266	340	296
759	266	296	266	340	266	340	296
760	266	296	266	340	266	340	296
761	266	296	266	340	266	340	296
762	266	296	266	340	266	340	296
763	266	296	266	340	266	340	296
764	266	296	266	340	266	340	296
765	266	296	266	340	266	340	296
766	266	296	266	340	266	340	296
767	266	296	266	340	266	340	296
768	266	296	266	340	266	340	296
769	266	296	266	340	266	340	296
770	266	296	266	340	266	340	296
771	266	296	266	340	266	340	296
772	266	296	266	340	266	340	296
773	266	296	266	340	266	340	296
774	266	296	266	340	266	340	296
775	266	296	266	340	266	340	296
